#54044870BCSV 	// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1553.500000
"SPAN",  13.000000
"START WL",1547.000000
"STOP WL",1560.000000
"WLFREQ", 0
"REFL", +3.0
"LSCL",10.0
"RESLN",0.100
"AVG",   1
"SMPLAUTO",      0
"SMPL",       2000
"SMPLINTVL",0.0065
"HIGH1"
"MEAS"
"LSUNT",0
"NMSKH","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",1
"MEASWL",0
"SWPSPD",1
"RESPARM", 9435
"FREQPARM", 9435


"[TRACE DATA]"
1547.0000, -78.929
1547.0065, -77.070
1547.0130, -77.312
1547.0195, -78.616
1547.0260, -74.606
1547.0325, -77.418
1547.0390, -80.138
1547.0455, -79.204
1547.0520, -79.698
1547.0585, -79.963
1547.0650, -75.475
1547.0715, -82.709
1547.0780, -76.612
1547.0845, -78.284
1547.0910, -76.763
1547.0975, -80.381
1547.1041, -80.780
1547.1106, -75.116
1547.1171, -80.355
1547.1236, -78.131
1547.1301, -78.550
1547.1366, -76.192
1547.1431, -78.030
1547.1496, -76.034
1547.1561, -77.959
1547.1626, -79.021
1547.1691, -75.664
1547.1756, -81.008
1547.1821, -75.757
1547.1886, -80.269
1547.1951, -78.812
1547.2016, -75.436
1547.2081, -79.493
1547.2146, -79.419
1547.2211, -75.766
1547.2276, -78.230
1547.2341, -76.380
1547.2406, -75.928
1547.2471, -75.987
1547.2536, -83.601
1547.2601, -76.834
1547.2666, -79.313
1547.2731, -75.404
1547.2796, -82.070
1547.2861, -75.811
1547.2926, -77.453
1547.2991, -79.191
1547.3057, -74.977
1547.3122, -78.320
1547.3187, -78.822
1547.3252, -78.012
1547.3317, -77.543
1547.3382, -79.027
1547.3447, -77.447
1547.3512, -77.458
1547.3577, -79.570
1547.3642, -76.228
1547.3707, -75.843
1547.3772, -76.590
1547.3837, -78.144
1547.3902, -77.153
1547.3967, -77.836
1547.4032, -77.247
1547.4097, -76.656
1547.4162, -75.377
1547.4227, -83.329
1547.4292,-210.000
1547.4357, -77.034
1547.4422, -77.656
1547.4487, -79.104
1547.4552, -76.542
1547.4617, -77.666
1547.4682, -76.986
1547.4747, -75.701
1547.4812, -77.045
1547.4877, -76.252
1547.4942, -84.642
1547.5008, -75.584
1547.5073, -77.106
1547.5138, -75.210
1547.5203, -76.723
1547.5268, -78.108
1547.5333, -77.520
1547.5398, -77.074
1547.5463, -77.026
1547.5528, -78.922
1547.5593, -75.584
1547.5658, -77.805
1547.5723, -79.977
1547.5788, -83.264
1547.5853, -75.390
1547.5918, -80.116
1547.5983, -76.223
1547.6048, -81.710
1547.6113, -75.853
1547.6178, -77.583
1547.6243, -76.700
1547.6308, -77.294
1547.6373, -78.583
1547.6438, -76.512
1547.6503, -77.506
1547.6568, -75.666
1547.6633, -77.619
1547.6698, -76.813
1547.6763, -83.500
1547.6828, -77.462
1547.6893, -76.661
1547.6958, -79.464
1547.7024, -79.353
1547.7089, -79.078
1547.7154, -76.369
1547.7219, -76.761
1547.7284, -78.814
1547.7349, -78.358
1547.7414, -76.962
1547.7479, -78.725
1547.7544, -76.915
1547.7609, -77.600
1547.7674, -80.922
1547.7739, -76.372
1547.7804, -76.692
1547.7869, -76.109
1547.7934, -79.767
1547.7999, -78.340
1547.8064, -78.077
1547.8129, -75.731
1547.8194, -83.793
1547.8259, -77.546
1547.8324, -76.562
1547.8389, -77.160
1547.8454, -76.731
1547.8519, -77.142
1547.8584, -78.373
1547.8649, -76.490
1547.8714, -81.269
1547.8779, -75.278
1547.8844, -79.157
1547.8909, -76.027
1547.8974, -75.757
1547.9040, -78.452
1547.9105, -78.461
1547.9170, -76.360
1547.9235, -75.555
1547.9300, -76.162
1547.9365, -79.662
