#54044870BCSV 	// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1553.500000
"SPAN",  13.000000
"START WL",1547.000000
"STOP WL",1560.000000
"WLFREQ", 0
"REFL", +3.0
"LSCL",10.0
"RESLN",0.100
"AVG",   1
"SMPLAUTO",      0
"SMPL",       2000
"SMPLINTVL",0.0065
"HIGH1"
"MEAS"
"LSUNT",0
"NMSKH","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",1
"MEASWL",0
"SWPSPD",1
"RESPARM", 9435
"FREQPARM", 9435


"[TRACE DATA]"
1547.0000, -88.806
1547.0065, -76.396
1547.0130, -74.815
1547.0195, -79.980
1547.0260, -78.461
1547.0325, -77.689
1547.0390, -78.726
1547.0455, -77.977
1547.0520, -74.992
1547.0585, -79.993
1547.0650, -77.109
1547.0715, -76.104
1547.0780, -74.999
1547.0845, -75.379
1547.0910, -78.487
1547.0975, -76.957
1547.1041, -76.784
1547.1106, -80.144
1547.1171, -76.206
1547.1236, -77.334
1547.1301, -76.965
1547.1366, -77.320
1547.1431, -76.462
1547.1496, -82.688
1547.1561, -75.307
1547.1626, -82.005
1547.1691, -80.795
1547.1756, -76.582
1547.1821, -75.905
1547.1886, -76.434
1547.1951, -75.934
1547.2016, -80.311
1547.2081, -78.818
1547.2146, -82.871
1547.2211, -73.985
1547.2276,-210.000
1547.2341, -76.915
1547.2406, -76.738
1547.2471, -76.776
1547.2536, -76.164
1547.2601, -79.037
1547.2666, -77.586
1547.2731, -82.558
1547.2796, -80.627
1547.2861, -76.692
1547.2926, -79.532
1547.2991, -83.296
1547.3057, -75.995
1547.3122, -80.887
1547.3187, -78.199
1547.3252, -75.145
1547.3317, -81.916
1547.3382, -77.579
1547.3447, -75.753
1547.3512, -83.436
1547.3577, -77.355
1547.3642, -74.556
1547.3707,-210.000
1547.3772, -76.600
1547.3837, -77.880
1547.3902, -75.589
1547.3967, -76.652
1547.4032, -76.571
1547.4097, -78.196
1547.4162, -76.707
1547.4227, -78.372
1547.4292, -77.659
1547.4357, -81.698
1547.4422, -80.043
1547.4487, -78.755
1547.4552, -77.087
1547.4617, -80.411
1547.4682, -78.653
1547.4747, -81.243
1547.4812, -77.490
1547.4877, -77.856
1547.4942, -77.383
1547.5008, -76.257
1547.5073, -76.349
1547.5138, -77.735
1547.5203, -80.659
1547.5268, -75.824
1547.5333, -76.794
1547.5398, -80.061
1547.5463, -79.067
1547.5528, -81.111
1547.5593, -75.626
1547.5658, -77.329
1547.5723, -76.690
1547.5788, -78.266
1547.5853, -84.186
1547.5918, -76.467
1547.5983, -77.996
1547.6048, -78.357
1547.6113, -76.835
1547.6178, -78.724
1547.6243, -77.889
1547.6308, -76.157
1547.6373, -78.755
1547.6438, -77.738
1547.6503, -75.780
1547.6568, -78.902
1547.6633, -76.045
1547.6698, -75.237
1547.6763, -81.309
1547.6828, -82.572
1547.6893, -76.115
1547.6958, -76.874
1547.7024, -77.915
1547.7089, -78.700
1547.7154, -77.308
1547.7219, -82.849
1547.7284, -76.230
1547.7349, -79.648
1547.7414, -77.372
1547.7479, -77.516
1547.7544, -78.164
1547.7609, -79.369
1547.7674, -75.231
1547.7739, -75.978
1547.7804, -77.925
1547.7869, -75.828
1547.7934, -78.057
1547.7999, -75.678
1547.8064, -79.181
1547.8129, -76.986
1547.8194, -86.229
1547.8259, -76.939
1547.8324, -78.064
1547.8389, -78.497
1547.8454, -77.261
1547.8519, -79.323
1547.8584, -75.427
1547.8649, -78.667
1547.8714, -76.162
1547.8779, -76.864
1547.8844, -77.394
1547.8909, -76.623
1547.8974, -77.233
1547.9040, -76.748
1547.9105, -76.417
1547.9170, -81.309
1547.9235, -78.024
1547.9300, -79.691
1547.9365, -75.467
